[GIN] 2026/02/02 - 12:16:10 | 200 |     445.276µs |     192.168.1.5 | GET      "/api/config"
[GIN] 2026/02/02 - 12:16:10 | 200 |     431.292µs |     192.168.1.5 | GET      "/api/config"
[GIN] 2026/02/02 - 12:16:10 | 200 |      40.406µs |     192.168.1.5 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:10 | 200 |       13.32µs |     192.168.1.5 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:10 | 200 |      16.258µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:10 | 200 |      18.614µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:40 | 200 |      37.407µs |     192.168.1.5 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:40 | 200 |      17.445µs |     192.168.1.5 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:40 | 200 |      14.396µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:16:40 | 200 |      12.885µs |   192.168.1.150 | GET      "/api/status"
2026/02/02 12:16:48 Status check complete: 3 services checked
[GIN] 2026/02/02 - 12:17:10 | 200 |      37.933µs |     192.168.1.5 | GET      "/api/status"
[GIN] 2026/02/02 - 12:17:10 | 200 |      26.079µs |     192.168.1.5 | GET      "/api/status"
[GIN] 2026/02/02 - 12:17:10 | 200 |      23.574µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:17:10 | 200 |      21.764µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:17:40 | 200 |      20.587µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:17:40 | 200 |      25.697µs |   192.168.1.150 | GET      "/api/status"
2026/02/02 12:17:48 Status check complete: 3 services checked
[GIN] 2026/02/02 - 12:18:10 | 200 |      16.344µs |   192.168.1.150 | GET      "/api/status"
[GIN] 2026/02/02 - 12:18:10 | 200 |      18.772µs |   192.168.1.150 | GET      "/api/status"
